park,parkLabel,countryLabel,continentLabel,areaKm2,inceptionYear,elevation,coord
http://www.wikidata.org/entity/Q123161,Woomargama National Park,Австралия,Австралия и Океания,24185,2001,,Point(147.485 -35.8714)
http://www.wikidata.org/entity/Q123161,Woomargama National Park,Австралия,Австралия и Океания,24185,2015,,Point(147.485 -35.8714)
http://www.wikidata.org/entity/Q123161,Woomargama National Park,Австралия,Австралия и Океания,242.1934765625,2001,,Point(147.485 -35.8714)
http://www.wikidata.org/entity/Q123161,Woomargama National Park,Австралия,Австралия и Океания,242.1934765625,2015,,Point(147.485 -35.8714)
http://www.wikidata.org/entity/Q125085,Lomsdal–Visten National Park,Норвегия,Европа,1102,2009,,Point(12.7935791 65.57436506)
http://www.wikidata.org/entity/Q125085,Lomsdal–Visten National Park,Норвегия,Европа,1101.7992893,2009,,Point(12.7935791 65.57436506)
http://www.wikidata.org/entity/Q125333,Mũi Cà Mau National Park,Вьетнам,Азия,418.62,2003,,Point(104.79166667 8.675)
http://www.wikidata.org/entity/Q129902,Капитол-Риф,США,Северная Америка,978.95,1937,,Point(-111.167 38.2)
http://www.wikidata.org/entity/Q130718,Deogyusan National Park,Республика Корея,Азия,231.65,1975,,Point(127.744 35.864)
http://www.wikidata.org/entity/Q131875,Уда-Валаве (национальный парк),Шри-Ланка,Азия,30.821,1972,,Point(80.888455555 6.438344444)
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),Австралия,Австралия и Океания,16.1865698242188,1977,155,Point(115.956 -34.5006)
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),Австралия,Австралия и Океания,16.1865698242188,1990,155,Point(115.956 -34.5006)
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),Австралия,Австралия и Океания,13.7190295410156,1977,155,Point(115.956 -34.5006)
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),Австралия,Австралия и Океания,13.7190295410156,1990,155,Point(115.956 -34.5006)
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),Австралия,Австралия и Океания,31,1977,155,Point(115.956 -34.5006)
http://www.wikidata.org/entity/Q133502,Уоррен (национальный парк),Австралия,Австралия и Океания,31,1990,155,Point(115.956 -34.5006)
http://www.wikidata.org/entity/Q137913,Lochern National Park,Австралия,Австралия и Океания,24862,1994,162,Point(143.325833333 -24.237222222)
http://www.wikidata.org/entity/Q137913,Lochern National Park,Австралия,Австралия и Океания,24862,2017,162,Point(143.325833333 -24.237222222)
http://www.wikidata.org/entity/Q137913,Lochern National Park,Австралия,Австралия и Океания,247.8872265625,1994,162,Point(143.325833333 -24.237222222)
http://www.wikidata.org/entity/Q137913,Lochern National Park,Австралия,Австралия и Океания,247.8872265625,2017,162,Point(143.325833333 -24.237222222)
http://www.wikidata.org/entity/Q137917,Magnetic Island National Park,Австралия,Австралия и Океания,39.360751953125,1954,260,Point(146.842222222 -19.135833333)
http://www.wikidata.org/entity/Q137917,Magnetic Island National Park,Австралия,Австралия и Океания,39.360751953125,2018,260,Point(146.842222222 -19.135833333)
http://www.wikidata.org/entity/Q137917,Magnetic Island National Park,Австралия,Австралия и Океания,279,1954,260,Point(146.842222222 -19.135833333)
http://www.wikidata.org/entity/Q137917,Magnetic Island National Park,Австралия,Австралия и Океания,279,2018,260,Point(146.842222222 -19.135833333)
http://www.wikidata.org/entity/Q137928,Мазеппа,Австралия,Австралия и Океания,413,1972,246,Point(147.291111111 -22.231666666)
http://www.wikidata.org/entity/Q137928,Мазеппа,Австралия,Австралия и Океания,413,2001,246,Point(147.291111111 -22.231666666)
http://www.wikidata.org/entity/Q137928,Мазеппа,Австралия,Австралия и Океания,41.256220703125,1972,246,Point(147.291111111 -22.231666666)
http://www.wikidata.org/entity/Q137928,Мазеппа,Австралия,Австралия и Океания,41.256220703125,2001,246,Point(147.291111111 -22.231666666)
http://www.wikidata.org/entity/Q138096,Lindeman Islands National Park,Австралия,Австралия и Океания,28.063544921875,1941,350,Point(149.086944444 -20.475)
http://www.wikidata.org/entity/Q138096,Lindeman Islands National Park,Австралия,Австралия и Океания,28.063544921875,1998,350,Point(149.086944444 -20.475)
http://www.wikidata.org/entity/Q138096,Lindeman Islands National Park,Австралия,Австралия и Океания,289,1941,350,Point(149.086944444 -20.475)
http://www.wikidata.org/entity/Q138096,Lindeman Islands National Park,Австралия,Австралия и Океания,289,1998,350,Point(149.086944444 -20.475)
http://www.wikidata.org/entity/Q138100,Mariala National Park,Австралия,Австралия и Океания,273,1992,345,Point(145.071388888 -26.029444444)
http://www.wikidata.org/entity/Q138100,Mariala National Park,Австралия,Австралия и Океания,273,1994,345,Point(145.071388888 -26.029444444)
http://www.wikidata.org/entity/Q138100,Mariala National Park,Австралия,Австралия и Океания,270.43619140625,1992,345,Point(145.071388888 -26.029444444)
http://www.wikidata.org/entity/Q138100,Mariala National Park,Австралия,Австралия и Океания,270.43619140625,1994,345,Point(145.071388888 -26.029444444)
http://www.wikidata.org/entity/Q138104,Littabella National Park,Австралия,Австралия и Океания,83.827294921875,1980,27,Point(152.048055555 -24.579166666)
http://www.wikidata.org/entity/Q138104,Littabella National Park,Австралия,Австралия и Океания,83.827294921875,2009,27,Point(152.048055555 -24.579166666)
http://www.wikidata.org/entity/Q138104,Littabella National Park,Австралия,Австралия и Океания,83.8,1980,27,Point(152.048055555 -24.579166666)
http://www.wikidata.org/entity/Q138104,Littabella National Park,Австралия,Австралия и Океания,83.8,2009,27,Point(152.048055555 -24.579166666)
http://www.wikidata.org/entity/Q140033,Гленвех,Ирландия,Европа,1605,1984,,Point(-8.05 55.016666666)
http://www.wikidata.org/entity/Q141549,Форе дю Дэй,Джибути,Африка,14,1939,,Point(42.683333333 11.8)
http://www.wikidata.org/entity/Q141735,Вангануи,Новая Зеландия,Австралия и Океания,742,1986,,Point(175.083333333 -39.583333333)
http://www.wikidata.org/entity/Q144029,Fazao Mafakassa National Park,Того,Африка,690,1975,,Point(1.0 9.0)
http://www.wikidata.org/entity/Q145308,Woolooma National Park,Австралия,Австралия и Океания,495,2005,,Point(151.2675 -32.05472222)
http://www.wikidata.org/entity/Q145308,Woolooma National Park,Австралия,Австралия и Океания,495,2005,,Point(151.2675 -32.05472222)
http://www.wikidata.org/entity/Q145308,Woolooma National Park,Австралия,Австралия и Океания,4.96546844482422,2005,,Point(151.2675 -32.05472222)
http://www.wikidata.org/entity/Q145308,Woolooma National Park,Австралия,Австралия и Океания,4.96546844482422,2005,,Point(151.2675 -32.05472222)
http://www.wikidata.org/entity/Q152820,Кайахога-Валли,США,Северная Америка,133.3,2000,,Point(-81.549722222 41.241666666)
http://www.wikidata.org/entity/Q155266,Cunnawarra National Park,Австралия,Австралия и Океания,162.313017578125,1999,689,Point(152.217222222 -30.624722222)
http://www.wikidata.org/entity/Q155266,Cunnawarra National Park,Австралия,Австралия и Океания,162.313017578125,2003,689,Point(152.217222222 -30.624722222)
http://www.wikidata.org/entity/Q155266,Cunnawarra National Park,Австралия,Австралия и Океания,16315,1999,689,Point(152.217222222 -30.624722222)
http://www.wikidata.org/entity/Q155266,Cunnawarra National Park,Австралия,Австралия и Океания,16315,2003,689,Point(152.217222222 -30.624722222)
http://www.wikidata.org/entity/Q163515,Айл-Ройал,США,Северная Америка,2314,1940,,Point(-88.9092899 47.9958654)
http://www.wikidata.org/entity/Q164798,Фолгефонна,Норвегия,Европа,548.03,2005,,Point(6.333055555 60.0)
http://www.wikidata.org/entity/Q164798,Фолгефонна,Норвегия,Европа,548.0321561,2005,,Point(6.333055555 60.0)
http://www.wikidata.org/entity/Q165026,Girraween National Park,Австралия,Австралия и Океания,118,1966,,Point(151.912 -28.7742)
http://www.wikidata.org/entity/Q165026,Girraween National Park,Австралия,Австралия и Океания,117.020078125,1966,,Point(151.912 -28.7742)
http://www.wikidata.org/entity/Q168372,Cheile Nerei-Beușnița National Park,Румыния,Европа,367.58,1990,,Point(21.8882 44.951194)
http://www.wikidata.org/entity/Q168372,Cheile Nerei-Beușnița National Park,Румыния,Европа,367.58,2000,,Point(21.8882 44.951194)
http://www.wikidata.org/entity/Q168372,Cheile Nerei-Beușnița National Park,Румыния,Европа,367.9588039,1990,,Point(21.8882 44.951194)
http://www.wikidata.org/entity/Q168372,Cheile Nerei-Beușnița National Park,Румыния,Европа,367.9588039,2000,,Point(21.8882 44.951194)
http://www.wikidata.org/entity/Q168421,Minerva Hills National Park,Австралия,Австралия и Океания,27.8154809570313,1994,470,Point(148.064166666 -24.080555555)
http://www.wikidata.org/entity/Q168421,Minerva Hills National Park,Австралия,Австралия и Океания,279,1994,470,Point(148.064166666 -24.080555555)
http://www.wikidata.org/entity/Q168618,Molle Islands National Park,Австралия,Австралия и Океания,177,1937,173,Point(148.8575 -20.376666666)
http://www.wikidata.org/entity/Q168618,Molle Islands National Park,Австралия,Австралия и Океания,177,1998,173,Point(148.8575 -20.376666666)
http://www.wikidata.org/entity/Q168618,Molle Islands National Park,Австралия,Австралия и Океания,17.7476794433594,1937,173,Point(148.8575 -20.376666666)
http://www.wikidata.org/entity/Q168618,Molle Islands National Park,Австралия,Австралия и Океания,17.7476794433594,1998,173,Point(148.8575 -20.376666666)
http://www.wikidata.org/entity/Q174228,Caparaó National Park,Бразилия,Южная Америка,317.63,1961,882,Point(-41.7837525 -20.45017583)
http://www.wikidata.org/entity/Q174228,Caparaó National Park,Бразилия,Южная Америка,260,1961,882,Point(-41.7837525 -20.45017583)
http://www.wikidata.org/entity/Q174250,Вануаз,Франция,Европа,528.39,1963,,Point(6.83333 45.3333)
http://www.wikidata.org/entity/Q174250,Вануаз,Франция,Европа,528.39,1963,,Point(6.83333 45.3333)
http://www.wikidata.org/entity/Q174250,Вануаз,Франция,Европа,528,1963,,Point(6.83333 45.3333)
http://www.wikidata.org/entity/Q174250,Вануаз,Франция,Европа,528,1963,,Point(6.83333 45.3333)
http://www.wikidata.org/entity/Q174656,Millstream Chichester National Park,Австралия,Австралия и Океания,2384.51609375,1970,294,Point(117.107 -21.2733)
http://www.wikidata.org/entity/Q174656,Millstream Chichester National Park,Австралия,Австралия и Океания,2384.51609375,1972,294,Point(117.107 -21.2733)
http://www.wikidata.org/entity/Q174656,Millstream Chichester National Park,Австралия,Австралия и Океания,1.997,1970,294,Point(117.107 -21.2733)
http://www.wikidata.org/entity/Q174656,Millstream Chichester National Park,Австралия,Австралия и Океания,1.997,1972,294,Point(117.107 -21.2733)
http://www.wikidata.org/entity/Q174918,Эрринундра (национальный парк),Австралия,Австралия и Океания,398.7,1988,,Point(148.895 -37.2858)
http://www.wikidata.org/entity/Q174918,Эрринундра (национальный парк),Австралия,Австралия и Океания,401.01,1988,,Point(148.895 -37.2858)
http://www.wikidata.org/entity/Q174918,Эрринундра (национальный парк),Австралия,Австралия и Океания,430.9,1988,,Point(148.895 -37.2858)
http://www.wikidata.org/entity/Q175688,Конгари,США,Северная Америка,106.3351993549824,2003,,Point(-80.783333333 33.783333333)
http://www.wikidata.org/entity/Q176792,Сайлент-Вэлли (национальный парк),Индия,Азия,89.52,1980,,Point(76.466666666 11.133333333)
http://www.wikidata.org/entity/Q176872,Барма,Австралия,Австралия и Океания,285.05,2010,,Point(145.118055555 -35.866666666)
http://www.wikidata.org/entity/Q180402,Йосемити,США,Северная Америка,3079.34,1890,2686,Point(-119.5375 37.7425)
http://www.wikidata.org/entity/Q180402,Йосемити,США,Северная Америка,3027.19,1890,2686,Point(-119.5375 37.7425)
http://www.wikidata.org/entity/Q181556,Брокмен (национальный парк),Австралия,Австралия и Океания,0.512273941040039,1977,135,Point(115.996 -34.5144)
http://www.wikidata.org/entity/Q181556,Брокмен (национальный парк),Австралия,Австралия и Океания,49,1977,135,Point(115.996 -34.5144)
http://www.wikidata.org/entity/Q181891,Nullarbor National Park,Австралия,Австралия и Океания,324.255,1979,84,Point(129.89905 -31.4562)
http://www.wikidata.org/entity/Q181891,Nullarbor National Park,Австралия,Австралия и Океания,324.255,2006,84,Point(129.89905 -31.4562)
