park,parkLabel,country,countryLabel,area,inception,highestPoint,highestPointLabel,elevation
http://www.wikidata.org/entity/Q473256,Кинглейк (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,23210,1962-01-01T00:00:00Z,,,322
http://www.wikidata.org/entity/Q472929,Хасселл (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,13,1972-01-01T00:00:00Z,,,170
http://www.wikidata.org/entity/Q472929,Хасселл (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,11.3818493652344,1971-01-01T00:00:00Z,,,170
http://www.wikidata.org/entity/Q422935,Nuga Nuga National Park,http://www.wikidata.org/entity/Q408,Австралия,29.360244140625,1993-01-01T00:00:00Z,,,331
http://www.wikidata.org/entity/Q441861,Whitsunday Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,174.2352734375,2000-01-01T00:00:00Z,,,370
http://www.wikidata.org/entity/Q446220,Таннел-Крик (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,91,1992-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q446220,Таннел-Крик (национальный парк),http://www.wikidata.org/entity/Q408,Австралия,0.910443344116211,1992-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q457882,Glass House Mountains National Park,http://www.wikidata.org/entity/Q408,Австралия,3037,1994-01-01T00:00:00Z,,,140
http://www.wikidata.org/entity/Q428123,Маико (национальный парк),http://www.wikidata.org/entity/Q974,Демократическая Республика Конго,10830,1970-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q477399,Michaelmas and Upolu Cays National Park,http://www.wikidata.org/entity/Q408,Австралия,0.020849404335022,1975-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q476446,Экрен,http://www.wikidata.org/entity/Q142,Франция,91800,1973-03-27T00:00:00Z,http://www.wikidata.org/entity/Q30480,Барр-дез-Экрен,
http://www.wikidata.org/entity/Q476446,Экрен,http://www.wikidata.org/entity/Q142,Франция,918,1973-03-27T00:00:00Z,http://www.wikidata.org/entity/Q30480,Барр-дез-Экрен,
http://www.wikidata.org/entity/Q441890,Литл-Дезерт,http://www.wikidata.org/entity/Q408,Австралия,132647,1968-01-01T00:00:00Z,,,117
http://www.wikidata.org/entity/Q447047,Национальный парк Алтын-Эмель,http://www.wikidata.org/entity/Q232,Казахстан,4596,1996-01-01T00:00:00Z,,,
http://www.wikidata.org/entity/Q441861,Whitsunday Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,174.2352734375,1944-01-01T00:00:00Z,,,370
http://www.wikidata.org/entity/Q422935,Nuga Nuga National Park,http://www.wikidata.org/entity/Q408,Австралия,286,1994-01-01T00:00:00Z,,,331
http://www.wikidata.org/entity/Q423134,Newry Islands National Park,http://www.wikidata.org/entity/Q408,Австралия,464,1995-01-01T00:00:00Z,,,
