park,parkLabel,countryLabel,continentLabel,areaKm2,inceptionYear,elevation,coord,instanceType,instanceTypeLabel,visitors,year_x,followers,year_y
http://www.wikidata.org/entity/Q212025,Mount Pinbarren National Park,Австралия,Австралия и Океания,0.227454299926758,2002.0,329.0,Point(152.854166666 -26.32),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212030,Mount Martin National Park,Австралия,Австралия и Океания,22.7256323242188,1994.0,458.0,Point(148.829444444 -21.071944444),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212030,Mount Martin National Park,Австралия,Австралия и Океания,22.7256323242188,2008.0,458.0,Point(148.829444444 -21.071944444),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212030,Mount Martin National Park,Австралия,Австралия и Океания,2173.0,1994.0,458.0,Point(148.829444444 -21.071944444),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212030,Mount Martin National Park,Австралия,Австралия и Океания,2173.0,2008.0,458.0,Point(148.829444444 -21.071944444),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212134,Стаатен Ривер,Австралия,Австралия и Океания,4687.734375,1977.0,78.0,Point(142.679 -16.2553),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212134,Стаатен Ривер,Австралия,Австралия и Океания,4687.734375,1994.0,78.0,Point(142.679 -16.2553),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212134,Стаатен Ривер,Австралия,Австралия и Океания,4.7,1977.0,78.0,Point(142.679 -16.2553),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q212134,Стаатен Ривер,Австралия,Австралия и Океания,4.7,1994.0,78.0,Point(142.679 -16.2553),http://www.wikidata.org/entity/Q18618819,национальный парк Австралии,,,,
http://www.wikidata.org/entity/Q215992,Лос-Гласьярес,Аргентина,Южная Америка,7269.27,1939.0,919.0,Point(-73.0 -50.0),http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины,688837,2023.0,,
http://www.wikidata.org/entity/Q215992,Лос-Гласьярес,Аргентина,Южная Америка,4459.0,1939.0,919.0,Point(-73.0 -50.0),http://www.wikidata.org/entity/Q6974775,национальный парк Аргентины,688837,2023.0,,
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,363983,2000.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,363983,2000.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,363983,2000.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,363983,2000.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,951,1930.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,951,1930.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,951,1930.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,951,1930.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,378855,2010.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,378855,2010.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,378855,2010.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,378855,2010.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,1201,1940.0,64569.0,2020.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,1201,1940.0,101569.0,2023.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,1201,1940.0,88391.0,2022.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,1201,1940.0,73169.0,2021.0
http://www.wikidata.org/entity/Q217136,Денали,США,Северная Америка,24.585,1917.0,324.0,Point(-150.3 63.2),http://www.wikidata.org/entity/Q158454,биосферный заповедник ЮНЕСКО,22500,1960.0,64569.0,2020.0
